Category,Season,customer_count,avg_spend,promo_rate_pct,subscription_rate_pct,avg_rating
Clothing,Spring,43,57.14,37.2,16.3,3.735
Clothing,Summer,41,56.37,41.5,24.4,3.517
Clothing,Winter,33,60.15,45.5,18.2,3.879
Clothing,Fall,29,55.03,37.9,31.0,3.5
Accessories,Fall,27,62.00,48.1,33.3,3.648
Accessories,Winter,26,66.69,30.8,19.2,3.881
Accessories,Spring,25,67.28,36.0,24.0,3.792
Accessories,Summer,22,66.45,31.8,18.2,3.855
Footwear,Fall,15,62.33,53.3,33.3,4.1
Footwear,Summer,14,59.50,50.0,28.6,3.65
Footwear,Spring,11,58.82,45.5,27.3,3.591
Outerwear,Fall,11,48.91,27.3,18.2,3.427
Outerwear,Winter,9,60.11,44.4,11.1,3.844
Footwear,Winter,8,47.88,12.5,0.0,3.912
Outerwear,Summer,7,66.29,28.6,28.6,3.571
Outerwear,Spring,5,59.00,20.0,0.0,4.12
